"PTS","MP","AST","TRB","STL","BLK","TOV","FG.","FT.","eFG.","Pos"
19.589897850798,33.4,6.1,4.2,1.1,0.3,2.5,0.512,0.78,0.557,"G"
15.2553381288156,29.6,5.7,3.9,1.5,0.4,2.3,0.514,0.783,0.534,"G"
5.78154039871263,15.1,0.5,4.2,0.4,0.5,0.7,0.596,0.619,0.615,"F"
9.32509121364184,20.6,1.1,5.6,0.4,1.3,1.1,0.732,0.679,0.732,"C"
21.8957275905718,35.5,7.8,2.7,1.2,0.1,2.9,0.462,0.863,0.537,"G"
3.89410593119299,12.9,0.9,4.1,0.6,0.4,0.6,0.486,0.617,0.554,"F"
3.89812821023715,8.7,0.6,2.3,0.1,0.1,0.5,0.543,0.788,0.603,"C"
5.40044727138014,14.6,1,2.9,0.3,0.3,0.7,0.38,0.857,0.437,"F"
22.4060036192684,34.6,5.1,6.1,1.5,0.4,3.1,0.457,0.871,0.536,"G"
3.34650126856826,9.8,0.7,1.9,0.3,0.2,0.5,0.52,0.714,0.552,"C"
19.0270282804331,31.1,6.2,7.9,0.8,0.4,2.8,0.482,0.731,0.516,"G"
22.2167480610475,35.5,5.5,4.8,1.6,1,2.8,0.51,0.905,0.531,"G"
3.84596710915193,10.6,0.6,1.7,0.1,0.2,0.3,0.538,0.731,0.553,"F"
18.9861583071915,41,7,4,3,0,2,0.333,0,0.5,"G"
16.9256866447346,30.7,1.2,11.6,0.8,1.4,1.7,0.659,0.644,0.659,"C"
5.85649356114547,17.8,2.7,3.3,0.9,0.4,0.9,0.448,0.768,0.501,"G"
14.6301093048031,30.2,3,6.6,0.8,0.8,1.4,0.564,0.608,0.603,"F"
14.464489475147,28.5,2.7,1.9,0.6,0.4,1.5,0.446,0.821,0.547,"G"
16.5986374165365,30.2,2.9,2.1,0.6,0.4,1.8,0.439,0.815,0.528,"G"
10.7821924418433,24.9,2.1,1.7,0.6,0.4,1,0.463,0.842,0.597,"G"
5.5520452535431,18.3,2.7,1.7,0.6,0.2,0.7,0.374,0.748,0.512,"G"
3.95583642623613,15.3,2.2,1.4,0.6,0.2,0.5,0.368,0.746,0.511,"G"
11.0598196229594,26.4,4,2.5,0.8,0.3,1.3,0.38,0.75,0.513,"G"
